Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Heavenly Ever After,N/A,"Lee Nam-kyu [ko]
Kim Su-jin",Kim Sok-yoon [ko],"Kim Hye-ja
Son Suk-ku
Han Ji-min
Lee Jung-eun
Chun Ho-jin
Ryu Deok-hwan",Romantic fantasy,JTBC,12,"April 19 –
May 25, 2025",N/A,"An elderly woman named Lee Hae-sook died at the age of 80. Since her husband's accident, she has provided for her family on her own. Hae-sook makes an odd choice when she first arrives at the Heaven Admission Counseling Office: she decides to keep her 80-year-old appearance for her afterlife. Her husband's affectionate remarks that she was gorgeous at all ages, but particularly now, had an impact on this choice. Hae-sook and her husband, Ko Nak-joon, are reunited in Heaven. But she is shocked to see him in his younger, thirty-year-old self, and he is equally shocked to see her looking older. As it happens, Hae-sook is the only individual in Heaven who has decided against going back to their younger self. In the meantime, Nak-joon delivers letters of well wishes from Earth while working as a postman in Heaven. While he waited for Hae-sook, he constructed a stunning home in Heaven and died before her."
Shut Up & Let's Go,Shut Up & Let's Go[1],Seo Yoon-hee,Lee Kwon,"Sung Joon
Jo Bo-ah
Kim Myung-soo
Jung Eui-chul
Kim Min-seok
Yoo Min-kyu
Lee Hyun-jae","Teen
Romance
Music",tvN,16,"January 30 –
March 20, 2012",N/A,"Joo Byung-hee (Lee Min-ki) is the crazy, free-spirited leader and vocalist of the popular underground rock group, Eye Candy. Joining him is Kwon Ji-hyuk (Sung Joon), chic Lee Hyun-soo (L), playboy Kim Ha-jin (Yoo Min-kyu), silent Jang Do-il (Lee Hyun-jae) and baby-faced Seo Kyung-jong (Kim Min-seok). When their delinquent-ridden school is forced to close down, they debate whether it's even worth returning to high school at all. However, due to an outside confrontation with their new school's current ruling band, Strawberry Fields, Eye Candy decides to attend Jungsang High out of spite so they can rule the school once again. Joo Byung-Hee finds his muse in Jungsang High School and dreams of performing in a music festival. They overcome their various economic difficulties to earn themselves the Jungsang High School uniform and finally are able to enter. By taking inspiration from his blossoming relationship, Byung-hee finally finishes his composition for the festival. Tensions flare between Eye Candy and Strawberry Fields, leading to violent encounters."
Autumn Shower,N/A,Jo Myung-joo,Yoon Jae-moon,"Oh Ji-ho
Kim So-yeon
Jung Ryeo-won
Lee Chun-hee",N/A,MBC,16,"September 21 –
November 10, 2005",N/A,"Choi Yoon-jae (Oh Ji-ho) ends up in a car accident causing the passenger, his wife Kyu-eun (Kim So-yeon), to go into a coma. Park Yeon-seo (Jung Ryeo-won), Kyu-eun's best friend, is secretly in love with Yoon-jae. While Kyu-eun is in a coma, Yoon-jae and Yeon-seo begin an affair.[1]"
Leverage (South Korean TV series),Leverage: Fraud Control Operation,Min Ji-hyung,Nam Gi-hoon,"Lee Dong-gun
Jeon Hye-bin
Kim Sae-ron
Kim Kwon
Yeo Hoe-hyun","Crime
Drama",TV Chosun,16,"October 13 –
December 8, 2019",N/A,"The series follows the story of Lee Tae-joon, a former insurance investigator who forms a team of thieves and con artists to target the rich and wealthy. The team was also formed to avenge Tae-joon's son's death."
School 2013,N/A,"Lee Hyun-joo
Go Jung-won","Lee Min-hong
Lee Eung-bok","Jang Na-ra
Choi Daniel
Lee Jong-suk
Kim Woo-bin
Park Se-young","Coming-of-age
Teen",KBS2,16 + 1 special,"3 December 2012 –
28 January 2013",N/A,"Jung In-jae (Jang Na-ra) and Kang Sae-chan (Choi Daniel) are homeroom teachers whose philosophies are apparently at odds. Together, they manage Victory High's toughest class; facing bullies, academic underachievers, and demanding parents, as they help the students overcome their problems."
Find the 1st Prize,N/A,Choi Si-eun,Park Hong-su,N/A,N/A,N/A,"Season 5
Episode 5",N/A,N/A,"Kim Do-yoon seeking job as an aircraft pilot received a notice of indefinite postponement from the company ahead of the final interview. He is self-isolated due to COVID-19. As he learns that he won the first prize in the lottery
with less than a day left until the deadline for payment, he runs away to catch the greatest luck of his life. (As per official website)[3]"
Get Up (film),N/A,Ko Eun-nim,Lee Jae-dong,"Lee Min-ho
Rhyme
Lee Ah-jin",N/A,MBC,1 (television film),24-Feb-08,N/A,"High school students Min Wook-gi (Lee Min-ho) and Doo-heon (Rhyme) both land in trouble after they get into a fight. Doo-heon gets suspended, and Wook-gi has to clean his teacher's (Gi Ju-bong) car as punishment. While he's cleaning, his girlfriend Joo-won (Choi Ah-jin) shows up to tell him she's going on a ski trip with her new boyfriend. To chase after his girlfriend, Wook-gi tries to steal his teacher's car – but he can't drive. As he's making a run for it, Doo-heon happens to pass by on his motorcycle, and the two end up hitting the open road together.[3]"
Voice (TV series),N/A,Ma Jin-won,"Kim Hong-sun (S1)
Kim Sang-hoon (S1)
Lee Seung-yeong (S2)
Nam Ki-hoon (S3)
Shin Yong-whee (S4)","Lee Ha-na
Jang Hyuk
Lee Jin-wook
Song Seung-heon","Thriller
Procedural",tvN,58,"June 18 –
July 31, 2021",N/A,"Moo Jin-hyuk (Jang Hyuk) is a ""mad dog"" detective who becomes guilt-ridden after his wife was murdered while he was at work. Kang Kwon-joo (Lee Ha-na) is a tough policewoman who is gifted with perfect psycho-acoustics skills and went for voice profiling. She was working at the call center when a brutal murder case took place and in the process of investigating, her father, a veteran patrol police, was killed. Three years later, Jin-hyuk and Kwon-joo team up as the ""Golden Time team"" and solve cases together, chasing after the psychopathic serial killer who took their loved ones. It is revealed that Kwon-joo father was killed because he witnessed the murder of Jin-hyuk's wife and died after trying to stop the killer."
Becoming Witch,N/A,Park Pa-ran[3],Kim Yun-cheol[3],"Lee Yu-ri
Lee Min-young
Yoon So-yi","Black comedy
Mystery[1]",TV Chosun,12,"June 25 –
September 10, 2022",N/A,Three women in their 40s reach a breaking point as their already-frustrating lives go completely off the rails.
Class of Lies,Undercover Teacher,Jang Hong-cheol,"Sung Yong-il
Park Ji-hyun","Yoon Kyun-sang
Keum Sae-rok
Choi Yu-hwa","Teen drama
Thriller",OCN,16,"July 17 –
September 5, 2019",N/A,Gi Moo-hyeok is a high-profile lawyer who goes undercover under the name Gi Kang-jae as a substitute teacher at an elite private high school to investigate the murder of a female student.
Uncle (South Korean TV series),N/A,Park Ji-sook,Ji Young-soo,"Oh Jung-se
Jeon Hye-jin
Lee Kyung-hoon [ko]
Park Sun-young
Lee Sang-woo
Lee Si-won","Music[1]
Family drama[2]",TV Chosun,16,"December 11, 2021 –
January 30, 2022",N/A,"The series tells about an uncle taking care of his nephew in elementary school, who suffersanxietyandobsessive-compulsivedisorders due to his sister's divorce.[5]"
Love with Flaws,N/A,Ahn Shin-yoo,Oh Jin-seok,"Oh Yeon-seo
Ahn Jae-hyun
Kim Seul-gi
Gu Won
Heo Jung-min",Romantic comedy,MBC,32[a],"November 27, 2019 –
January 16, 2020",N/A,"This is a romantic comedy story about two imperfect people who fall in love with each other. The female protagonist, Joo Seo-yeon, hates men with pretty faces. Based on her experience of growing up with her three good looking brothers, she believes that good looking men are nothing but trouble. The male protagonist, Lee Kang-woo, initially has misconceptions about her.[4][unreliable source?]"
House of Bluebird,N/A,"Choi Hyun-kyung
Park Pil-joo",Ji Byung-hyun,"Lee Joon-hyuk
Chae Soo-bin
Lee Sang-yeob
Kyung Soo-jin","Domestic
Romance
Comedy
Drama",Korean Broadcasting System,50,"February 21 –
August 9, 2015",N/A,"The scion of a formerly wealthy traditional land-owning family, Kim Ji-wan grew up an orphan raised by his stepmother and grandmother when his father died, and his family lost its fortune. To provide for his family, Ji-wan swallows his pride and uses nepotism to join Nuga Global, a multi-national medical appliances company. Ji-wan is initially grateful when Jang Tae-soo, Nuga's CEO and a friend of his late father, takes him under his wing. As the lives of Ji-wan's family and that of Tae-soo cross again, long hidden secrets, such as how Ji-wan's father died and came to lose his fortune, begin to unravel. Desperate to protect the business and reputation he has built, Tae-soo uses a secret that Ji-wan's stepmother has kept from Ji-wan and his grandmother."
Hello Franceska,"Hello, Francesca","Shin Jung-gu (seasons 1-2)
Kim Hyun-hee (season 3)","Noh Do-chul (seasons 1-2)
Jo Hee-jin (season 3)","Shim Hye-jin
Lee Doo-il
Jung Ryeo-won
Lee Kyeon
Park Seul-gi
Park Hee-jin
Shin Hae-chul
Kim Soo-mi
Kang Doo
Hyun Young
Lee In-sung","Horror
Comedy
Vampire
Sitcom
Black comedy
Satire",Munhwa Broadcasting Corporation,52,"January 24, 2005 –
February 27, 2006",N/A,"Romania, 2005. The last of thevampirefamilies on earth are sent by their leader to different places all over the world, and told to hide themselves and live among humans until ""the glory of their empire"" is restored."
Show Window: The Queen's House,N/A,"Han Bo-kyung
Park Hye-young[2]","Kang Sol
Park Dae-hee[2]","Song Yoon-ah
Lee Sung-jae
Jeon So-min
Hwang Chan-sung","Melodrama[1]
Mystery[2]",Channel A,16,"November 29, 2021 –
January 18, 2022",N/A,"It is about a woman who supports the adultery of another woman, without knowing that the affair is with her husband.[9]"
Dear Archimedes,My Dear Archimedes,N/A,Zhang Silin,"Oh Se-hun
Xu Ling Yue
Yang Ye Ming
Wang Zi Xuan","Web series
Suspense
Romantic",N/A,20,N/A,N/A,"The story of a genius logician, Yan Su (Oh Se-hun), who lives in a mysterious castle, isolated from the outside world. He works to solve inscrutable and complicated cases. One day, Zhen Ai (Xu Ling Yue), a clever biologist, walks into his castle to help him in solving a cryptic code.[2]"
Andante (TV series),N/A,"Park Sun-ja
Kwon Ki-kyung",Park Ki-ho,"Kim Jong-in
Baek Chul-min
Lee Ye-hyun
Kim Jin-kyung","Coming-of-age
Teen drama
Romance",KBS1,16,"September 24, 2017 –
January 7, 2018",N/A,A high school student named Lee Shi-kyung (Kai) moves to the countryside with his family and discovers a real-life ecosystem.[6][7][8]
Hotel King,N/A,Jo Eun-jung,"Kim Dae-jin
Jang Joon-ho","Lee Dong-wook
Lee Da-hae
Wang Ji-hye
Lim Seul-ong","Melodrama
Revenge
Romance",MBC TV,32,"April 5 –
July 27, 2014",N/A,"A love story between an heiress who tries to save her father's legacy, the one and only seven-star hotel in the nation, and ahotel managerwho becomes his mentor's enemy in order to protect her.[6][7]"
Doubt (South Korean TV series),N/A,Han Ah-young [ko],Song Yeon-hwa [ko],"Han Suk-kyu
Chae Won-bin
Han Ye-ri
Roh Jae-won
Yoon Kyung-ho
Oh Yeon-soo","Psychological thriller
Crime drama",MBC TV,10,"October 11 –
November 15, 2024",N/A,"Criminal profilerJang Tae-su is a well-known figure in South Korea. He pioneered the area ofcriminal behavioranalysis in the nation and was among the first in his field. Within the police structure, he has earned everyone's respect and trust. At home, he is raising his daughter Jang Ha-bin alone as a single parent. He had one son that died from falling off a cliff, despite his daughter's young age he believes she pushed him. He kept Jang mostly confined to her room and questioned her repeatedly about that night. She often cries until her mother saves her, but always glares at her father. The mother eventually dies of suicide, but evidence once again points to foul play."
Land of Gold,"Golden Land
Gold Land",Lee Seon-hee,Shin Hyun-soo,"Kang Ye-sol
Kang Eun-tak
Baek Seung-hee
Lee Byung-hoon","Romance
Family",KBS2,163,"6 January –
22 August 2014",N/A,"Land of Gold (Korean: TV소설 순금의 땅; RR: TVsoseol sungeumui ttang) is a 2014 South Korean morning soap opera broadcast by KBS2 starring Kang Ye-sol, Kang Eun-tak, Baek Seung-hee and Lee Byung-hoon. It premiered on January 6, 2014, airing from Mondays to Fridays at 9:00 a.m. for 163 episodes.[1][unreliable source?][2]"
My Girlfriend Is a Gumiho,My Girlfriend Is a Nine Tailed Fox,"Hong Jung-eun
Hong Mi-ran",Boo Sung-chul,"Lee Seung-gi
Shin Min-a","Romance
Comedy
Fantasy",SBS TV,16,"11 August –
30 September 2010",N/A,"Cha Dae-woong (Lee Seung-Gi) is a normal college student, with ambitions of becoming an action star. One day, he accidentally releases agumiho(Shin Min-ah), alegendary foxwith nine tails who was sealed inside a painting bySamshin Grandmother(三神). Fleeing the scene, Dae-woong suffers a life-threatening fall and is only saved by the gumiho giving him her ""fox bead"" (여우 구슬). When Dae-woong awakes and meets a mysterious and very beautiful girl, he initially treats her as eccentric or mentally ill, before she discloses that she is actually a gumiho in human form. According to myth, gumihos eat men's livers, so Dae-woong is scared out of his wits, and the gumiho takes advantage of his fear by sticking by his side. He names her ""Mi-ho,"" and keeps her happy by buying her beef and hiding her true identity. Mi-ho wants nothing more than to become human, so they strike a deal: she'll lend him her mystical fox bead so that with his increased speed and strength, he'll be able to do difficult stunts, and in exchange he'll help her become human. As time passes, they get to know each other better and Dae-woong is charmed by how Mi-ho looks at the world with childlike wonder."
"Bring It On, Ghost",N/A,Lee Dae-il,"Park Joon-hwa
Myung Hyun-woo","Ok Taec-yeon
Kim So-hyun
Kwon Yul","Horror
Mystery
Romantic comedy",tvN,16,"July 11 –
August 30, 2016",N/A,"Park Bong-pal (Ok Taec-yeon) has grown up with the ability to see ghosts. He uses his power to work as an exorcist, banishing ghosts in order to make enough money to undergo a procedure that will take his ability away. At a haunted high school, he encounters Kim Hyun-ji (Kim So-hyun) a feisty high school student who, because of a traffic accident, became a wandering spirit. Hyun-ji believes that Bong-pal might hold the secret as to why she is a spirit. In order to be freed from endlessly wandering the earth and be able to ascend to the next life, Hyun-ji convinces Bong-pal to let her move in, and the two become ghost fighting partners."
Top Management (TV series),N/A,"Jang Eun-mi
Kim Jung-hee
Lim Jung-min
Park Seul-gi
Yoo Su-ji
Yoon Yang-woon",Yoon Sung-ho,"Seo Eun-soo
Ahn Hyo-seop
Cha Eun-woo
Jung Yoo-ahn
Bang Jae-min","Romance
Drama
Fantasy",YouTube Premium,16,"October 31 –
November 16, 2018",N/A,"The story centers on Eun-sung, a former girlidol traineewith thepower to foresee the future, who becomes themanagerof the aspiring, but struggling,boyidol group""S.O.U.L.""[7]"
The Killing Vote,N/A,Jo Yoon-young[4],Park Shin-woo[4],"Park Hae-jin
Park Sung-woong
Lim Ji-yeon","Hardboiled[1]
Thriller[1]
Crime[2]",SBS TV,12,"August 10 –
November 16, 2023",N/A,"The series follows a mysterious figure known as Gaetal,[a]who conducts surveys via text message to decide whether to put certain vicious criminals to death, then murders them if more than fifty percent of those who respond favor a death sentence.[11][12]"
Flower Crew: Joseon Marriage Agency,N/A,Kim Yi-rang,Kim Ga-ram,"Kim Min-jae
Gong Seung-yeon
Seo Ji-hoon
Park Ji-hoon
Byeon Woo-seok
Go Won-hee","Historical
Romantic comedy[1]",JTBC,16,"September 16 –
November 5, 2019",N/A,"Ma Hoon, Young-soo, and Do Joon are Joseon's most successful marriage agency, the Flower Crew, and their 90 percent success rate has given them local fame despite the fact that, unusually, they are all men. Young-soo has impeccable taste in clothes and other wedding accoutrements and Do Joon is an information broker who learns every rumor, but the biggest contributor to their success is Ma Hoon's skills of observation and thorough research into prospective spouses."
